year,month,temp_moy,gap_temp,nb_disasters,nb_deaths,total_damages
2004,3,13.4108971454463,-1.15429663594555,0,0,0
2004,4,15.2478873239437,-0.845657197549533,0,0,0
2004,5,17.2243647234678,-0.812059387345176,0,0,0
2004,6,20.5040934371524,0.35120548554799,0,0,0
2004,7,20.8761460101868,-0.279264677482711,0,0,0
2004,8,21.3449958123953,0.179810530230768,1,11,0
2004,9,19.8409255704841,0.346373694819292,0,0,0
2004,10,17.9635554635761,0.347978356615723,0,0,0
2004,11,14.4045697202648,-0.428745347341993,0,0,0
2004,12,13.1368825238688,0.0251584643844556,0,0,0
2005,1,13.0074724809484,0.358050111310559,0,0,0
2005,2,11.5002549837738,-1.56936110121499,0,0,0
2005,3,14.5249076733689,-0.0402861080229382,0,0,0
2005,4,16.2228897821028,0.129345260609561,0,0,0
2005,5,17.7856584093872,-0.250765701425738,0,0,0
2005,6,20.6556838768116,0.502795925207177,1,2,1e+07
2005,7,20.7754281949934,-0.379982492676032,0,0,0
2005,8,19.9188787945934,-1.24630648757105,0,0,0
2005,9,18.7704340921123,-0.72411778355254,1,1,0
2005,10,18.2587361372672,0.643159030306791,0,0,0
2005,11,14.2782480522215,-0.555067015385271,2,8,0
2005,12,11.7314921681781,-1.38023189130626,1,2,0
2006,1,12.0700184691155,-0.579403900522342,0,0,0
2006,2,12.2480947012402,-0.821521383748591,0,0,0
2006,3,14.0110992529349,-0.554094528456933,1,4,0
2006,4,15.4907678450798,-0.602776676413376,0,0,0
2006,5,17.8049059866004,-0.231518124212556,0,0,0
2006,6,20.2221556886227,0.0692677370183219,0,0,0
2006,7,22.4303963705826,1.27498568291308,1,1388,0
2006,8,19.0666024560559,-2.0985828261086,0,0,0
2006,9,20.0795428571428,0.58499098147805,0,0,0
2006,10,18.6678626121199,1.05228550515948,1,1,0
2006,11,15.8888103919781,1.0554953243713,0,0,0
2006,12,13.2341806158297,0.122456556345382,0,0,0
2007,1,14.3642003297609,1.71477796012309,2,4,2.5e+08
2007,2,14.919302169537,1.84968608454824,0,0,0
2007,3,14.7540496540496,0.188855872657765,0,0,0
2007,4,17.9014553891584,1.8079108676652,0,0,0
2007,5,18.4853186723681,0.448894561555189,1,1,0
2007,6,19.7914938194008,-0.361394132203632,0,0,0
2007,7,20.2908758382443,-0.864534849425223,0,0,0
2007,8,20.3549095344582,-0.810275747706314,0,0,0
2007,9,18.8835530445699,-0.61099883109485,0,0,0
2007,10,17.0236397361913,-0.591937370769117,0,0,0
2007,11,14.0812192513369,-0.75209581626992,0,0,0
2007,12,11.8447310887626,-1.26699297072179,0,0,0
2008,1,13.1337521663779,0.484329796740001,0,0,0
2008,2,13.4923182129017,0.422702127912988,0,0,0
2008,3,14.3888707704851,-0.176323010906742,1,2,0
2008,4,15.7398056201141,-0.353738901379106,0,0,0
2008,5,18.4328519855595,0.396427874746582,0,0,0
2008,6,19.2538426966293,-0.899045254975157,1,0,0
2008,7,20.4872396896693,-0.668170998000143,0,0,0
2008,8,20.5251314405888,-0.640053841575632,1,3,8e+07
2008,9,18.8311298838437,-0.663421991821089,0,0,0
2008,10,17.0305265314485,-0.585050575511922,0,0,0
2008,11,14.7475340136054,-0.0857810540013979,0,0,0
2008,12,12.2505879882403,-0.861136071244115,0,0,0
2009,1,11.7430572723527,-0.906365097285146,3,16,3.2e+09
2009,2,13.0698590288655,0.000242943876777701,0,0,0
2009,3,14.8114029729179,0.246209191526066,0,0,0
2009,4,16.1628437433383,0.0692992218451209,0,0,0
2009,5,18.3517990206515,0.315374909838553,0,0,0
2009,6,20.4043211230533,0.25143317144892,0,0,0
2009,7,20.8228205128206,-0.332590174848914,1,0,0
2009,8,21.5311259661584,0.365940683993898,0,0,0
2009,9,19.7294750158128,0.234923140147963,0,0,0
2009,10,17.5266455696203,-0.0889315373401409,0,0,0
2009,11,16.2661657363675,1.43285066876073,0,0,0
2009,12,13.2533210332103,0.141596973725958,1,2,0
2010,1,11.5984205128205,-1.05100185681735,0,0,0
2010,2,12.8807692307692,-0.188846854219536,1,53,4.23e+09
2010,3,14.1684221658206,-0.396771615571218,0,0,0
2010,4,16.906944743066,0.813400221572803,0,0,0
2010,5,17.6712905877518,-0.365133523061147,0,0,0
2010,6,19.965631646108,-0.18725630549638,1,25,1.5e+09
2010,7,21.3695520450119,0.214141357342449,0,0,0
2010,8,20.1830637915544,-0.982121490610108,0,0,0
2010,9,18.3313584818329,-1.16319339383185,0,0,0
2010,10,17.1560311284046,-0.459545978555767,0,0,0
2010,11,14.5398124467178,-0.293502620888981,1,3,0
2010,12,11.7110680008168,-1.40065605866756,1,0,0
2011,1,12.5807111846186,-0.0687111850192892,0,0,0
2011,2,13.7972518737225,0.727635788733727,0,0,0
2011,3,14.9609365244537,0.395742743061856,0,0,0
2011,4,18.0598270771826,1.96628255568939,0,0,0
2011,5,18.7817488884184,0.745324777605468,0,0,0
2011,6,19.5262356575463,-0.62665229405809,0,0,0
2011,7,19.7704751847941,-1.38493550287535,0,0,0
2011,8,20.991426181514,-0.173759100650432,0,0,0
2011,9,20.1421229802514,0.647571104586575,0,0,0
2011,10,17.5135652939881,-0.102011812972282,0,0,0
2011,11,15.783672556475,0.950357488868256,1,6,0
2011,12,13.2803033733303,0.168579313845926,1,0,0
2012,1,11.6872074159907,-0.962214953647111,0,0,0
2012,2,10.3845235361653,-2.68509254882343,1,12,0
2012,3,15.0962409226826,0.531047141290776,0,0,0
2012,4,14.9324744557974,-1.16107006569577,0,0,0
2012,5,18.1526947368421,0.116270626029145,0,0,0
2012,6,19.7074189249223,-0.445469026682112,0,0,0
2012,7,20.2559646856158,-0.899446002053658,0,0,0
2012,8,21.5339926103021,0.368807328137589,0,0,0
2012,9,19.1487338960462,-0.345817979618602,0,0,0
2012,10,17.5747916666667,-0.040785440293714,0,0,0
2012,11,15.0531650983746,0.219850030767832,0,0,0
2012,12,13.8041588687877,0.692434809303311,0,0,0
2013,1,12.7112213267204,0.0617989570825301,0,0,0
2013,2,12.1804972627737,-0.889118822215007,0,0,0
2013,3,14.2460567170358,-0.319137064356053,0,0,0
2013,4,15.7598821300779,-0.333662391415327,0,0,0
2013,5,16.4298998569385,-1.60652425387441,0,0,0
2013,6,18.8666245259166,-1.28626342568784,1,2,6.55e+08
2013,7,21.9728364895134,0.817425801843879,0,0,0
2013,8,21.0526901669759,-0.112495115188587,0,0,0
2013,9,19.5548428755919,0.0602909999271226,0,0,0
2013,10,18.3970682644982,0.781491157537772,1,1,0
2013,11,14.3171267115845,-0.516188356022319,0,0,0
2013,12,13.3202817484981,0.20855768901369,1,1,0
2014,1,13.6939588688946,1.04453649925676,2,6,0
2014,2,12.7169179657552,-0.352698119233583,1,0,0
